date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:45	78660/78660	---MCZ	200	added ('OK')	text/html	date:Sun,%2028%20May%202017%2021:24:52%20GMT	http://httpcoder.com/demo/html/foodking/view/index.html	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/index.html	(from )
10:24:45	69/69	---MCZ	200	added ('OK')	text/plain	date:Tue,%2012%20Jun%202018%2004:55:34%20GMT	http://httpcoder.com/robots.txt		(from )
10:24:48	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon.ico	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon.ico	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:49	5009/5009	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-57x57.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-57x57.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:50	5362/5362	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-60x60.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-60x60.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:51	6739/6739	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-72x72.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-72x72.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:52	7138/7138	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-76x76.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-76x76.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:54	11545/11545	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-114x114.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-114x114.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:54	12245/12245	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-120x120.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-120x120.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:57	15755/15755	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-144x144.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-144x144.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:24:58	16721/16721	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-152x152.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-152x152.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:01	20949/20949	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-180x180.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/apple-icon-180x180.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:02	21339/21339	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/android-icon-192x192.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/android-icon-192x192.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:02	2559/2559	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/favicon-32x32.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/favicon-32x32.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:03	1379/1379	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/favicon-16x16.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/favicon-16x16.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:03	174787/174787	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/twittercardimg/twittercard-280-150.jpg	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/twittercardimg/twittercard-280-150.jpg	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:04	9482/9482	---M--	200	added ('OK')	image/png	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/favicon-96x96.png	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/favicon-96x96.png	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:04	760/760	---MCZ	200	added ('OK')	application/json	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/img/favicon/manifest.json	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/img/favicon/manifest.json	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:05	121205/121205	---MCZ	200	added ('OK')	text/css	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/bootstrap/css/bootstrap.min.css	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/bootstrap/css/bootstrap.min.css	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:05	29065/29065	---MCZ	200	added ('OK')	text/css	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/css/font-awesome.min.css	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/fontawesome/css/font-awesome.min.css	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:05	3630/3630	---MCZ	200	added ('OK')	text/css	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/owlcarousel/owl.carousel.min.css	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/owlcarousel/owl.carousel.min.css	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:06	1055/1055	---MCZ	200	added ('OK')	text/css	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/owlcarousel/owl.theme.default.min.css	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/owlcarousel/owl.theme.default.min.css	(from http://httpcoder.com/demo/html/foodking/view/index.html)
10:25:06	7775/7775	---MCZ	200	added ('OK')	text/css	date:Sun,%2028%20May%202017%2021:24:50%20GMT	http://httpcoder.com/demo/html/foodking/view/assets/libs/datepicker/bootstrap-datetimepicker.min.css	C:/Templates/Restarourent/httpcoder.com/demo/html/foodking/view/assets/libs/datepicker/bootstrap-datetimepicker.min.css	(from http://httpcoder.com/demo/html/foodking/view/index.html)
